gender,Aimag,TIME,value
TOTAL,   Govisumber,2023,1885.5
TOTAL,   Govisumber,2022,1480.4
TOTAL,   Govisumber,2021,1271.0
TOTAL,   Govisumber,2020,1177.0
TOTAL,   Govisumber,2019,1052.8
TOTAL,   Govisumber,2018,918.0
TOTAL,   Govisumber,2017,873.5
TOTAL,   Govisumber,2016,799.9
TOTAL,   Govisumber,2015,769.0
TOTAL,   Govisumber,2014,755.9
TOTAL,   Govisumber,2013,797.1
TOTAL,   Govisumber,2012,736.9
TOTAL,   Govisumber,2011,606.8
TOTAL,   Govisumber,2010,531.7
TOTAL,   Govisumber,2009,409.4
TOTAL,   Govisumber,2008,352.9
TOTAL,   Govisumber,2007,224.7
TOTAL,   Govisumber,2006,184.6
TOTAL,   Govisumber,2005,145.5
TOTAL,   Govisumber,2004,123.8
TOTAL,   Govisumber,2003,110.3
TOTAL,   Govisumber,2002,88.7
TOTAL,   Govisumber,2001,75.7
TOTAL,   Govisumber,2000,75.9
TOTAL,   Govisumber,1999,
TOTAL,   Govisumber,1998,
TOTAL,   Govisumber,1997,
TOTAL,   Govisumber,1996,
TOTAL,   Govisumber,1995,
TOTAL,Eastern region,2024,2072.2
TOTAL,Eastern region,2023,1576.7
TOTAL,Eastern region,2022,1183.4
TOTAL,Eastern region,2021,1042.3
TOTAL,Eastern region,2020,987.0
TOTAL,Eastern region,2019,856.7
TOTAL,Eastern region,2018,728.2
TOTAL,Eastern region,2017,705.6
TOTAL,Eastern region,2016,663.0
TOTAL,Eastern region,2015,635.0
TOTAL,Eastern region,2014,602.3
TOTAL,Eastern region,2013,630.0
TOTAL,Eastern region,2012,488.6
TOTAL,Eastern region,2011,365.6
TOTAL,Eastern region,2010,306.2
TOTAL,Eastern region,2009,280.9
TOTAL,Eastern region,2008,255.6
TOTAL,Eastern region,2007,161.1
TOTAL,Eastern region,2006,113.5
TOTAL,Eastern region,2005,90.0
TOTAL,Eastern region,2004,74.9
TOTAL,Eastern region,2003,67.0
TOTAL,Eastern region,2002,59.4
TOTAL,Eastern region,2001,55.2
TOTAL,Eastern region,2000,50.8
TOTAL,Eastern region,1999,
TOTAL,Eastern region,1998,
TOTAL,Eastern region,1997,
TOTAL,Eastern region,1996,
TOTAL,Eastern region,1995,
TOTAL,   Dornod,2024,2065.7
TOTAL,   Dornod,2023,1647.3
TOTAL,   Dornod,2022,1225.3
TOTAL,   Dornod,2021,1070.0
TOTAL,   Dornod,2020,1009.5
TOTAL,   Dornod,2019,894.5
TOTAL,   Dornod,2018,780.1
TOTAL,   Dornod,2017,778.9
TOTAL,   Dornod,2016,712.2
TOTAL,   Dornod,2015,688.0
TOTAL,   Dornod,2014,633.0
TOTAL,   Dornod,2013,642.0
TOTAL,   Dornod,2012,559.3
TOTAL,   Dornod,2011,413.3
TOTAL,   Dornod,2010,332.2
TOTAL,   Dornod,2009,310.9
TOTAL,   Dornod,2008,275.4
TOTAL,   Dornod,2007,168.4
TOTAL,   Dornod,2006,122.4
TOTAL,   Dornod,2005,96.2
TOTAL,   Dornod,2004,69.6
TOTAL,   Dornod,2003,60.6
TOTAL,   Dornod,2002,59.3
TOTAL,   Dornod,2001,52.5
TOTAL,   Dornod,2000,46.4
TOTAL,   Dornod,1999,
TOTAL,   Dornod,1998,
TOTAL,   Dornod,1997,
TOTAL,   Dornod,1996,
TOTAL,   Dornod,1995,
TOTAL,   Sukhbaatar,2024,1986.4
TOTAL,   Sukhbaatar,2023,1438.4
TOTAL,   Sukhbaatar,2022,1095.7
TOTAL,   Sukhbaatar,2021,957.2
TOTAL,   Sukhbaatar,2020,910.8
TOTAL,   Sukhbaatar,2019,797.8
TOTAL,   Sukhbaatar,2018,690.1
TOTAL,   Sukhbaatar,2017,658.3
TOTAL,   Sukhbaatar,2016,629.6
TOTAL,   Sukhbaatar,2015,595.1
TOTAL,   Sukhbaatar,2014,563.2
TOTAL,   Sukhbaatar,2013,623.6
TOTAL,   Sukhbaatar,2012,438.4
TOTAL,   Sukhbaatar,2011,332.4
TOTAL,   Sukhbaatar,2010,283.6
TOTAL,   Sukhbaatar,2009,266.3
TOTAL,   Sukhbaatar,2008,259.7
TOTAL,   Sukhbaatar,2007,176.0
TOTAL,   Sukhbaatar,2006,107.9
TOTAL,   Sukhbaatar,2005,86.0
TOTAL,   Sukhbaatar,2004,81.4
TOTAL,   Sukhbaatar,2003,71.9
TOTAL,   Sukhbaatar,2002,62.2
TOTAL,   Sukhbaatar,2001,61.1
TOTAL,   Sukhbaatar,2000,61.0
TOTAL,   Sukhbaatar,1999,
TOTAL,   Sukhbaatar,1998,
TOTAL,   Sukhbaatar,1997,
TOTAL,   Sukhbaatar,1996,
TOTAL,   Sukhbaatar,1995,
TOTAL,   Khentii,2024,2144.1
TOTAL,   Khentii,2023,1594.2
TOTAL,   Khentii,2022,1196.1
TOTAL,   Khentii,2021,1071.7
TOTAL,   Khentii,2020,1015.3
TOTAL,   Khentii,2019,854.9
TOTAL,   Khentii,2018,694.7
TOTAL,   Khentii,2017,652.7
TOTAL,   Khentii,2016,628.7
TOTAL,   Khentii,2015,605.3
TOTAL,   Khentii,2014,598.4
TOTAL,   Khentii,2013,615.7
TOTAL,   Khentii,2012,386.7
TOTAL,   Khentii,2011,297.4
TOTAL,   Khentii,2010,252.7
TOTAL,   Khentii,2009,222.1
TOTAL,   Khentii,2008,195.5
TOTAL,   Khentii,2007,125.7
TOTAL,   Khentii,2006,105.1
TOTAL,   Khentii,2005,83.8
TOTAL,   Khentii,2004,75.1
TOTAL,   Khentii,2003,68.8
TOTAL,   Khentii,2002,55.9
TOTAL,   Khentii,2001,53.1
TOTAL,   Khentii,2000,47.2
TOTAL,   Khentii,1999,
TOTAL,   Khentii,1998,
TOTAL,   Khentii,1997,
TOTAL,   Khentii,1996,
TOTAL,   Khentii,1995,
TOTAL,Ulaanbaatar,2024,2390.7
TOTAL,Ulaanbaatar,2023,1970.7
TOTAL,Ulaanbaatar,2022,1608.8
TOTAL,Ulaanbaatar,2021,1370.7
TOTAL,Ulaanbaatar,2020,1312.6
TOTAL,Ulaanbaatar,2019,1232.2
TOTAL,Ulaanbaatar,2018,1119.7
TOTAL,Ulaanbaatar,2017,1062.4
TOTAL,Ulaanbaatar,2016,953.4
TOTAL,Ulaanbaatar,2015,877.7
TOTAL,Ulaanbaatar,2014,869.4
TOTAL,Ulaanbaatar,2013,830.3
TOTAL,Ulaanbaatar,2012,610.7
TOTAL,Ulaanbaatar,2011,470.3
TOTAL,Ulaanbaatar,2010,375.0
TOTAL,Ulaanbaatar,2009,328.9
TOTAL,Ulaanbaatar,2008,275.2
TOTAL,Ulaanbaatar,2007,185.8
TOTAL,Ulaanbaatar,2006,133.4
TOTAL,Ulaanbaatar,2005,104.0
TOTAL,Ulaanbaatar,2004,96.1
TOTAL,Ulaanbaatar,2003,89.4
TOTAL,Ulaanbaatar,2002,82.0
TOTAL,Ulaanbaatar,2001,77.5
TOTAL,Ulaanbaatar,2000,74.4
TOTAL,Ulaanbaatar,1999,
TOTAL,Ulaanbaatar,1998,
TOTAL,Ulaanbaatar,1997,
TOTAL,Ulaanbaatar,1996,
TOTAL,Ulaanbaatar,1995,
TOTAL,   Ulaanbaatar,2024,2390.7
TOTAL,   Ulaanbaatar,2023,1970.7
TOTAL,   Ulaanbaatar,2022,1608.8
TOTAL,   Ulaanbaatar,2021,1370.7
TOTAL,   Ulaanbaatar,2020,1312.6
TOTAL,   Ulaanbaatar,2019,1232.2
TOTAL,   Ulaanbaatar,2018,1119.7
TOTAL,   Ulaanbaatar,2017,1062.4
TOTAL,   Ulaanbaatar,2016,953.4
TOTAL,   Ulaanbaatar,2015,877.7
TOTAL,   Ulaanbaatar,2014,869.4
TOTAL,   Ulaanbaatar,2013,830.3
TOTAL,   Ulaanbaatar,2012,610.7
TOTAL,   Ulaanbaatar,2011,470.3
TOTAL,   Ulaanbaatar,2010,375.0
TOTAL,   Ulaanbaatar,2009,328.9
TOTAL,   Ulaanbaatar,2008,275.2
TOTAL,   Ulaanbaatar,2007,185.8
TOTAL,   Ulaanbaatar,2006,133.4
TOTAL,   Ulaanbaatar,2005,104.0
TOTAL,   Ulaanbaatar,2004,96.1
TOTAL,   Ulaanbaatar,2003,89.4
TOTAL,   Ulaanbaatar,2002,82.0
TOTAL,   Ulaanbaatar,2001,77.5
TOTAL,   Ulaanbaatar,2000,74.4
TOTAL,   Ulaanbaatar,1999,
TOTAL,   Ulaanbaatar,1998,
TOTAL,   Ulaanbaatar,1997,
TOTAL,   Ulaanbaatar,1996,
TOTAL,   Ulaanbaatar,1995,
FEMALE,National average,2024,2077.1
FEMALE,National average,2023,1651.9
FEMALE,National average,2022,1360.5
FEMALE,National average,2021,1163.1
FEMALE,National average,2020,1109.6
FEMALE,National average,2019,1021.3
FEMALE,National average,2018,903.3
FEMALE,National average,2017,860.4
FEMALE,National average,2016,811.0
FEMALE,National average,2015,760.7
FEMALE,National average,2014,733.3
FEMALE,National average,2013,688.5
FEMALE,National average,2012,524.3
FEMALE,National average,2011,381.3
FEMALE,National average,2010,314.5
FEMALE,National average,2009,279.9
FEMALE,National average,2008,258.1
FEMALE,National average,2007,159.3
FEMALE,National average,2006,117.3
FEMALE,National average,2005,92.3
FEMALE,National average,2004,88.0
FEMALE,National average,2003,76.0
FEMALE,National average,2002,65.9
FEMALE,National average,2001,61.0
FEMALE,National average,2000,59.8
FEMALE,National average,1999,
FEMALE,National average,1998,
FEMALE,National average,1997,
FEMALE,National average,1996,
FEMALE,National average,1995,
FEMALE,Western region,2024,1906.4
FEMALE,Western region,2023,1360.8
FEMALE,Western region,2022,1049.4
FEMALE,Western region,2021,931.2
FEMALE,Western region,2020,894.5
FEMALE,Western region,2019,772.8
FEMALE,Western region,2018,640.9
FEMALE,Western region,2017,620.3
FEMALE,Western region,2016,606.6
FEMALE,Western region,2015,603.2
FEMALE,Western region,2014,588.8
FEMALE,Western region,2013,541.2
FEMALE,Western region,2012,455.4
FEMALE,Western region,2011,316.8
FEMALE,Western region,2010,278.4
FEMALE,Western region,2009,255.3
FEMALE,Western region,2008,250.7
FEMALE,Western region,2007,148.7
FEMALE,Western region,2006,107.8
FEMALE,Western region,2005,80.6
FEMALE,Western region,2004,81.9
FEMALE,Western region,2003,68.3
FEMALE,Western region,2002,59.1
FEMALE,Western region,2001,50.0
FEMALE,Western region,2000,53.7
FEMALE,Western region,1999,
FEMALE,Western region,1998,
FEMALE,Western region,1997,
FEMALE,Western region,1996,
FEMALE,Western region,1995,
FEMALE,   Bayan-Ulgii,2024,1737.2
FEMALE,   Bayan-Ulgii,2023,1236.0
FEMALE,   Bayan-Ulgii,2022,976.1
FEMALE,   Bayan-Ulgii,2021,870.0
FEMALE,   Bayan-Ulgii,2020,837.4
FEMALE,   Bayan-Ulgii,2019,715.3
FEMALE,   Bayan-Ulgii,2018,577.3
FEMALE,   Bayan-Ulgii,2017,575.3
FEMALE,   Bayan-Ulgii,2016,559.4
FEMALE,   Bayan-Ulgii,2015,563.3
FEMALE,   Bayan-Ulgii,2014,541.0
FEMALE,   Bayan-Ulgii,2013,496.3
FEMALE,   Bayan-Ulgii,2012,400.5
FEMALE,   Bayan-Ulgii,2011,268.3
FEMALE,   Bayan-Ulgii,2010,250.6
FEMALE,   Bayan-Ulgii,2009,229.3
FEMALE,   Bayan-Ulgii,2008,247.7
FEMALE,   Bayan-Ulgii,2007,135.6
FEMALE,   Bayan-Ulgii,2006,94.3
FEMALE,   Bayan-Ulgii,2005,63.5
FEMALE,   Bayan-Ulgii,2004,71.3
FEMALE,   Bayan-Ulgii,2003,63.3
FEMALE,   Bayan-Ulgii,2002,52.6
FEMALE,   Bayan-Ulgii,2001,47.8
FEMALE,   Bayan-Ulgii,2000,41.0
FEMALE,   Bayan-Ulgii,1999,
FEMALE,   Bayan-Ulgii,1998,
FEMALE,   Bayan-Ulgii,1997,
FEMALE,   Bayan-Ulgii,1996,
FEMALE,   Bayan-Ulgii,1995,
FEMALE,   Govi-Altai,2024,1972.9
FEMALE,   Govi-Altai,2023,1400.1
FEMALE,   Govi-Altai,2022,1081.6
FEMALE,   Govi-Altai,2021,966.8
FEMALE,   Govi-Altai,2020,927.3
FEMALE,   Govi-Altai,2019,809.5
FEMALE,   Govi-Altai,2018,681.5
FEMALE,   Govi-Altai,2017,652.4
FEMALE,   Govi-Altai,2016,642.6
FEMALE,   Govi-Altai,2015,617.0
FEMALE,   Govi-Altai,2014,601.6
FEMALE,   Govi-Altai,2013,615.2
FEMALE,   Govi-Altai,2012,487.4
FEMALE,   Govi-Altai,2011,327.0
FEMALE,   Govi-Altai,2010,264.4
FEMALE,   Govi-Altai,2009,244.4
FEMALE,   Govi-Altai,2008,251.7
FEMALE,   Govi-Altai,2007,152.6
FEMALE,   Govi-Altai,2006,110.2
FEMALE,   Govi-Altai,2005,82.1
FEMALE,   Govi-Altai,2004,75.2
FEMALE,   Govi-Altai,2003,64.2
FEMALE,   Govi-Altai,2002,52.6
FEMALE,   Govi-Altai,2001,45.5
FEMALE,   Govi-Altai,2000,64.6
FEMALE,   Govi-Altai,1999,
FEMALE,   Govi-Altai,1998,
FEMALE,   Govi-Altai,1997,
FEMALE,   Govi-Altai,1996,
FEMALE,   Govi-Altai,1995,
FEMALE,   Zavkhan,2024,2024.1
FEMALE,   Zavkhan,2023,1438.0
FEMALE,   Zavkhan,2022,1078.1
FEMALE,   Zavkhan,2021,954.6
FEMALE,   Zavkhan,2020,920.9
FEMALE,   Zavkhan,2019,796.4
FEMALE,   Zavkhan,2018,659.1
FEMALE,   Zavkhan,2017,633.7
FEMALE,   Zavkhan,2016,628.8
FEMALE,   Zavkhan,2015,613.2
FEMALE,   Zavkhan,2014,609.4
FEMALE,   Zavkhan,2013,622.8
FEMALE,   Zavkhan,2012,488.8
FEMALE,   Zavkhan,2011,342.5
FEMALE,   Zavkhan,2010,306.0
FEMALE,   Zavkhan,2009,273.0
FEMALE,   Zavkhan,2008,246.1
FEMALE,   Zavkhan,2007,161.9
FEMALE,   Zavkhan,2006,109.8
FEMALE,   Zavkhan,2005,83.6
FEMALE,   Zavkhan,2004,77.5
FEMALE,   Zavkhan,2003,67.7
FEMALE,   Zavkhan,2002,61.5
FEMALE,   Zavkhan,2001,49.2
FEMALE,   Zavkhan,2000,44.9
FEMALE,   Zavkhan,1999,
FEMALE,   Zavkhan,1998,
FEMALE,   Zavkhan,1997,
FEMALE,   Zavkhan,1996,
FEMALE,   Zavkhan,1995,
FEMALE,   Uvs,2024,1920.5
FEMALE,   Uvs,2023,1372.6
FEMALE,   Uvs,2022,1047.5
FEMALE,   Uvs,2021,929.5
FEMALE,   Uvs,2020,890.6
FEMALE,   Uvs,2019,784.5
FEMALE,   Uvs,2018,644.7
FEMALE,   Uvs,2017,622.5
FEMALE,   Uvs,2016,604.1
FEMALE,   Uvs,2015,610.9
FEMALE,   Uvs,2014,597.3
FEMALE,   Uvs,2013,525.3
FEMALE,   Uvs,2012,427.8
FEMALE,   Uvs,2011,332.2
FEMALE,   Uvs,2010,284.0
FEMALE,   Uvs,2009,257.0
FEMALE,   Uvs,2008,265.4
FEMALE,   Uvs,2007,134.0
FEMALE,   Uvs,2006,106.3
FEMALE,   Uvs,2005,75.9
FEMALE,   Uvs,2004,86.6
FEMALE,   Uvs,2003,67.8
FEMALE,   Uvs,2002,61.7
FEMALE,   Uvs,2001,52.1
FEMALE,   Uvs,2000,42.6
FEMALE,   Uvs,1999,
FEMALE,   Uvs,1998,
FEMALE,   Uvs,1997,
FEMALE,   Uvs,1996,
FEMALE,   Uvs,1995,
FEMALE,   Khovd,2024,1943.6
FEMALE,   Khovd,2023,1397.6
FEMALE,   Khovd,2022,1081.1
FEMALE,   Khovd,2021,951.0
FEMALE,   Khovd,2020,910.7
FEMALE,   Khovd,2019,774.6
FEMALE,   Khovd,2018,657.4
FEMALE,   Khovd,2017,629.4
FEMALE,   Khovd,2016,610.3
FEMALE,   Khovd,2015,615.3
FEMALE,   Khovd,2014,599.6
FEMALE,   Khovd,2013,523.8
FEMALE,   Khovd,2012,482.2
FEMALE,   Khovd,2011,325.1
FEMALE,   Khovd,2010,294.9
FEMALE,   Khovd,2009,278.6
FEMALE,   Khovd,2008,249.3
FEMALE,   Khovd,2007,156.9
FEMALE,   Khovd,2006,116.6
FEMALE,   Khovd,2005,91.5
FEMALE,   Khovd,2004,90.5
FEMALE,   Khovd,2003,78.4
FEMALE,   Khovd,2002,62.5
FEMALE,   Khovd,2001,56.0
FEMALE,   Khovd,2000,88.8
FEMALE,   Khovd,1999,
FEMALE,   Khovd,1998,
FEMALE,   Khovd,1997,
FEMALE,   Khovd,1996,
FEMALE,   Khovd,1995,
FEMALE,Khangai region,2024,2049.1
FEMALE,Khangai region,2023,1534.6
FEMALE,Khangai region,2022,1197.0
FEMALE,Khangai region,2021,1048.1
FEMALE,Khangai region,2020,991.1
FEMALE,Khangai region,2019,863.5
FEMALE,Khangai region,2018,731.5
FEMALE,Khangai region,2017,692.9
FEMALE,Khangai region,2016,682.6
FEMALE,Khangai region,2015,670.6
FEMALE,Khangai region,2014,654.8
FEMALE,Khangai region,2013,587.9
FEMALE,Khangai region,2012,526.5
FEMALE,Khangai region,2011,380.5
FEMALE,Khangai region,2010,314.6
FEMALE,Khangai region,2009,283.8
FEMALE,Khangai region,2008,258.8
FEMALE,Khangai region,2007,156.0
FEMALE,Khangai region,2006,120.7
FEMALE,Khangai region,2005,95.4
FEMALE,Khangai region,2004,88.3
FEMALE,Khangai region,2003,76.0
FEMALE,Khangai region,2002,60.4
FEMALE,Khangai region,2001,56.0
FEMALE,Khangai region,2000,51.7
FEMALE,Khangai region,1999,
FEMALE,Khangai region,1998,
FEMALE,Khangai region,1997,
FEMALE,Khangai region,1996,
FEMALE,Khangai region,1995,
FEMALE,   Arkhangai,2024,1920.7
FEMALE,   Arkhangai,2023,1399.5
FEMALE,   Arkhangai,2022,1058.5
FEMALE,   Arkhangai,2021,947.8
FEMALE,   Arkhangai,2020,905.5
FEMALE,   Arkhangai,2019,776.0
FEMALE,   Arkhangai,2018,639.3
FEMALE,   Arkhangai,2017,609.8
FEMALE,   Arkhangai,2016,613.3
FEMALE,   Arkhangai,2015,614.1
FEMALE,   Arkhangai,2014,607.4
FEMALE,   Arkhangai,2013,575.2
FEMALE,   Arkhangai,2012,488.3
FEMALE,   Arkhangai,2011,359.0
FEMALE,   Arkhangai,2010,288.9
FEMALE,   Arkhangai,2009,257.8
FEMALE,   Arkhangai,2008,253.4
FEMALE,   Arkhangai,2007,144.0
FEMALE,   Arkhangai,2006,110.6
FEMALE,   Arkhangai,2005,87.3
FEMALE,   Arkhangai,2004,75.4
FEMALE,   Arkhangai,2003,64.2
FEMALE,   Arkhangai,2002,56.3
FEMALE,   Arkhangai,2001,48.7
FEMALE,   Arkhangai,2000,52.4
FEMALE,   Arkhangai,1999,
FEMALE,   Arkhangai,1998,
FEMALE,   Arkhangai,1997,
FEMALE,   Arkhangai,1996,
FEMALE,   Arkhangai,1995,
FEMALE,   Bayankhongor,2024,1927.9
FEMALE,   Bayankhongor,2023,1383.3
FEMALE,   Bayankhongor,2022,1070.9
FEMALE,   Bayankhongor,2021,948.7
FEMALE,   Bayankhongor,2020,884.9
FEMALE,   Bayankhongor,2019,795.7
FEMALE,   Bayankhongor,2018,662.6
FEMALE,   Bayankhongor,2017,634.5
FEMALE,   Bayankhongor,2016,624.7
FEMALE,   Bayankhongor,2015,619.0
FEMALE,   Bayankhongor,2014,606.3
FEMALE,   Bayankhongor,2013,567.7
FEMALE,   Bayankhongor,2012,504.2
FEMALE,   Bayankhongor,2011,372.2
FEMALE,   Bayankhongor,2010,289.2
FEMALE,   Bayankhongor,2009,264.9
FEMALE,   Bayankhongor,2008,249.4
FEMALE,   Bayankhongor,2007,148.0
FEMALE,   Bayankhongor,2006,108.8
FEMALE,   Bayankhongor,2005,88.6
FEMALE,   Bayankhongor,2004,79.6
FEMALE,   Bayankhongor,2003,72.2
FEMALE,   Bayankhongor,2002,58.5
FEMALE,   Bayankhongor,2001,59.3
FEMALE,   Bayankhongor,2000,44.1
FEMALE,   Bayankhongor,1999,
FEMALE,   Bayankhongor,1998,
FEMALE,   Bayankhongor,1997,
FEMALE,   Bayankhongor,1996,
FEMALE,   Bayankhongor,1995,
FEMALE,   Bulgan,2024,1956.0
FEMALE,   Bulgan,2023,1397.1
FEMALE,   Bulgan,2022,1053.4
FEMALE,   Bulgan,2021,932.1
FEMALE,   Bulgan,2020,879.9
FEMALE,   Bulgan,2019,787.0
FEMALE,   Bulgan,2018,663.1
FEMALE,   Bulgan,2017,647.0
FEMALE,   Bulgan,2016,629.6
FEMALE,   Bulgan,2015,624.3
FEMALE,   Bulgan,2014,595.1
FEMALE,   Bulgan,2013,619.7
FEMALE,   Bulgan,2012,552.4
FEMALE,   Bulgan,2011,384.4
FEMALE,   Bulgan,2010,312.7
FEMALE,   Bulgan,2009,307.4
FEMALE,   Bulgan,2008,297.9
FEMALE,   Bulgan,2007,158.5
FEMALE,   Bulgan,2006,118.7
FEMALE,   Bulgan,2005,95.8
FEMALE,   Bulgan,2004,90.3
FEMALE,   Bulgan,2003,70.7
FEMALE,   Bulgan,2002,62.8
FEMALE,   Bulgan,2001,54.6
FEMALE,   Bulgan,2000,42.0
FEMALE,   Bulgan,1999,
FEMALE,   Bulgan,1998,
FEMALE,   Bulgan,1997,
FEMALE,   Bulgan,1996,
FEMALE,   Bulgan,1995,
FEMALE,   Uvurkhangai,2024,1953.6
FEMALE,   Uvurkhangai,2023,1440.1
FEMALE,   Uvurkhangai,2022,1122.6
FEMALE,   Uvurkhangai,2021,964.1
FEMALE,   Uvurkhangai,2020,924.0
FEMALE,   Uvurkhangai,2019,803.8
FEMALE,   Uvurkhangai,2018,671.0
FEMALE,   Uvurkhangai,2017,650.9
FEMALE,   Uvurkhangai,2016,621.6
FEMALE,   Uvurkhangai,2015,599.8
FEMALE,   Uvurkhangai,2014,591.4
FEMALE,   Uvurkhangai,2013,578.8
FEMALE,   Uvurkhangai,2012,501.5
FEMALE,   Uvurkhangai,2011,375.9
FEMALE,   Uvurkhangai,2010,305.0
FEMALE,   Uvurkhangai,2009,283.1
FEMALE,   Uvurkhangai,2008,270.2
FEMALE,   Uvurkhangai,2007,151.2
FEMALE,   Uvurkhangai,2006,117.0
FEMALE,   Uvurkhangai,2005,99.1
FEMALE,   Uvurkhangai,2004,87.4
FEMALE,   Uvurkhangai,2003,66.9
FEMALE,   Uvurkhangai,2002,67.5
FEMALE,   Uvurkhangai,2001,45.3
FEMALE,   Uvurkhangai,2000,48.1
FEMALE,   Uvurkhangai,1999,
FEMALE,   Uvurkhangai,1998,
FEMALE,   Uvurkhangai,1997,
FEMALE,   Uvurkhangai,1996,
FEMALE,   Uvurkhangai,1995,
FEMALE,   Khuvsgul,2024,1844.9
FEMALE,   Khuvsgul,2023,1335.3
FEMALE,   Khuvsgul,2022,1028.2
FEMALE,   Khuvsgul,2021,903.9
FEMALE,   Khuvsgul,2020,871.5
FEMALE,   Khuvsgul,2019,744.6
FEMALE,   Khuvsgul,2018,618.8
FEMALE,   Khuvsgul,2017,608.0
FEMALE,   Khuvsgul,2016,581.1
FEMALE,   Khuvsgul,2015,582.7
FEMALE,   Khuvsgul,2014,576.5
FEMALE,   Khuvsgul,2013,615.1
FEMALE,   Khuvsgul,2012,442.3
FEMALE,   Khuvsgul,2011,309.3
FEMALE,   Khuvsgul,2010,276.0
FEMALE,   Khuvsgul,2009,268.9
FEMALE,   Khuvsgul,2008,227.5
FEMALE,   Khuvsgul,2007,126.3
FEMALE,   Khuvsgul,2006,90.5
FEMALE,   Khuvsgul,2005,68.7
FEMALE,   Khuvsgul,2004,71.0
FEMALE,   Khuvsgul,2003,56.0
FEMALE,   Khuvsgul,2002,49.7
FEMALE,   Khuvsgul,2001,52.0
FEMALE,   Khuvsgul,2000,47.5
FEMALE,   Khuvsgul,1999,
FEMALE,   Khuvsgul,1998,
FEMALE,   Khuvsgul,1997,
FEMALE,   Khuvsgul,1996,
FEMALE,   Khuvsgul,1995,
FEMALE,   Orkhon,2024,2392.0
FEMALE,   Orkhon,2023,1903.6
FEMALE,   Orkhon,2022,1524.5
FEMALE,   Orkhon,2021,1327.8
FEMALE,   Orkhon,2020,1239.8
FEMALE,   Orkhon,2019,1070.2
FEMALE,   Orkhon,2018,925.0
FEMALE,   Orkhon,2017,837.6
FEMALE,   Orkhon,2016,857.9
FEMALE,   Orkhon,2015,829.7
FEMALE,   Orkhon,2014,799.0
